series,mass,rows,base_error,rc_error,forecast_error,merged_error,top_error,stack_error
HOBBIES_1_073,748.0,1140,703.6490054290034,702.3657647097928,702.0535161802034,702.3657647097928,703.5441981965564,699.5963718876596
HOBBIES_1_074,1373.0,1140,1101.882925573635,1100.5650978152116,1100.2977136741747,1100.5650978152116,1102.1544185673554,1091.6272159995901
HOBBIES_1_077,383.0,1140,385.31278473323346,383.0522969694904,385.0311502607146,383.0522969694904,384.8351105610621,382.25076606950466
HOBBIES_1_078,888.0,1140,781.7573762072577,782.8997807018925,781.5737726797996,782.8997807018925,786.467884122231,775.8568165894956
HOBBIES_1_080,2316.0,1140,2121.5316519515454,2120.3753953496907,2122.4231138287964,2120.3753953496907,2122.910981603448,2128.296367574845
HOBBIES_1_081,598.0,1140,551.9718162107163,553.0003764423709,550.6501210230143,553.0003764423709,552.4442787394346,547.6207141953438
HOBBIES_1_083,389.0,1140,386.5626517324855,386.21450859148456,386.304167508698,386.21450859148456,386.7534117253842,384.7766448488204
HOBBIES_1_085,703.0,1140,640.2066808740286,642.1307407746465,639.1388765481204,642.1307407746465,641.6964642259452,638.5726304818043
HOBBIES_1_086,870.0,1140,735.135929918594,738.0248488581332,732.2159495056353,738.0248488581332,736.2500638157273,729.4712246037534
HOBBIES_1_087,64.0,1140,62.64731875316113,62.57387347888421,62.593692555005376,62.57387347888421,62.646945690263905,62.564344047440215
HOBBIES_1_090,2277.0,1140,2139.190425653108,2140.0067643030434,2139.5572359543376,2140.0067643030434,2141.324343092411,2144.5972903932034
HOBBIES_1_091,737.0,1140,742.6723759580167,742.9148078854539,742.1714115704456,742.9148078854539,743.423431156396,738.4986357716717
HOBBIES_1_092,398.0,1140,400.304110152945,400.18423518847703,399.8741960193754,400.18423518847703,400.12029904490504,398.7474483441451
HOBBIES_1_095,290.0,1140,289.6830927074277,289.4948430113873,289.181973419127,289.4948430113873,289.61319471999616,288.51649947528125
HOBBIES_1_098,1034.0,1140,848.3480850675381,849.1741790724133,850.3957978540752,849.1741790724133,849.5655437167618,842.8189873264381
HOBBIES_1_099,1246.0,1140,958.0623727432392,963.2992539543524,956.5713204032295,963.2992539543524,963.6080681406388,948.6791012992223
HOBBIES_1_102,211.0,1140,211.23484227490465,211.230832832026,211.00000022842855,211.230832832026,211.23484227490465,211.01867588499627
HOBBIES_1_104,398.0,1140,398.399570612605,398.1285452522931,398.1656690208693,398.1285452522931,398.0963694726687,394.90674029349594
HOBBIES_1_105,661.0,1140,643.014469219712,642.496500246765,641.1406381676901,642.496500246765,643.7294967592376,642.9292252408336
HOBBIES_1_106,371.0,1140,372.8695253076211,372.62003466642483,372.5986794706082,372.62003466642483,372.7182970433032,373.17280125901283
HOBBIES_1_108,1028.0,1140,850.456118287977,846.0324777380578,846.3020240080541,846.0324777380578,849.1705350323148,844.7778925794253
HOBBIES_1_109,352.0,1140,351.44680334975106,351.38530656088847,351.0840143192959,351.38530656088847,351.4244837704307,351.5821361325344
HOBBIES_1_110,170.0,1140,170.58241550138715,170.57495231527056,170.3674012324998,170.57495231527056,170.5921410137664,170.20016260974802
HOBBIES_1_112,46.0,1140,46.31287861611439,46.31719888317146,46.26791466217451,46.31719888317146,46.32711247617614,46.53600924631555
HOBBIES_1_113,269.0,1140,270.04571997346545,270.01629663782614,269.71636023745594,270.01629663782614,270.0426259473494,268.7628957003621
HOBBIES_1_114,189.0,1140,189.0,189.0,189.0,189.0,189.0,189.0
HOBBIES_1_116,515.0,1140,488.9784170802028,490.31786014387967,488.09144565378506,490.31786014387967,488.9617867785559,483.0225493551511
HOBBIES_1_118,211.0,1140,210.8635539111002,210.82812093034073,210.60035164077377,210.82812093034073,210.94065861128092,209.64460588568056
HOBBIES_1_119,724.0,1140,734.0801910708351,733.4091033495266,733.1152710926771,733.4091033495266,734.2936975023234,731.6294885696984
HOBBIES_1_124,734.0,1140,690.5052732121712,689.269797541171,687.9958919361525,689.269797541171,691.6957260927142,684.1657936877959
HOBBIES_1_126,526.0,1140,480.6343542570939,482.0923447401498,479.24061566927446,482.0923447401498,481.89922367737427,478.5805554676972
HOBBIES_1_127,516.0,1140,523.7861364052703,523.7249255732584,523.5376055553454,523.7249255732584,523.9592614866312,522.9158288277831
HOBBIES_1_129,771.0,1140,723.4092973243626,719.9073217081482,722.2827654963223,719.9073217081482,723.2397428322042,716.6510301762072
HOBBIES_1_130,609.0,1140,601.6829848472536,601.8850002900838,601.5128888168169,601.8850002900838,602.2620537114167,599.7218475164162
HOBBIES_1_132,1015.0,1140,862.6509162363084,863.1284620952536,859.5727891904879,863.1284620952536,862.9190391536606,858.948245100285
HOBBIES_1_133,17.0,1140,16.91575922492075,16.91097622931775,16.973351494334146,16.91097622931775,16.91575922492075,16.977903687733786
HOBBIES_1_134,3287.0,1140,2262.4972313208627,2271.186633517122,2269.42054743112,2271.186633517122,2269.6898202223665,2269.912761016096
HOBBIES_1_136,124.0,1140,124.24490258630638,124.23967427431263,124.00000023821411,124.23967427431263,124.24490258630638,124.01276435982258
HOBBIES_1_139,951.0,1140,836.9369530069796,836.2915215590381,834.4934467218866,836.2915215590381,838.0864190667653,834.0456261231949
HOBBIES_1_141,1498.0,1140,1062.2524728367387,1059.6442375296874,1062.6516190879065,1059.6442375296874,1062.5143074173484,1054.187390822654
HOBBIES_1_143,391.0,1140,385.43079242222905,386.11765906458584,385.148418006406,386.11765906458584,385.8039457272521,384.886398295017
HOBBIES_1_144,436.0,1140,435.7510675003071,435.21041447852787,434.9951342519068,435.21041447852787,435.27436869407694,432.07045793499674
HOBBIES_1_146,520.0,1140,497.69703363493363,497.54178043146567,497.63461046057523,497.54178043146567,497.2848691773763,496.2116933348645
HOBBIES_1_147,2927.0,1140,1623.7346530866748,1638.4699874903301,1629.0406497214794,1638.4699874903301,1642.0756985095636,1621.7639505687207
