series,mass,noq_error
1::628,6.199999999999999,2.3187230468483726
1::63,3.2,2.123353377137831
1::631,9.8,2.6387579243758883
1::633,2.9,1.0315563217917014
1::634,3.94,1.5980422895985738
1::635,6.5,1.5817372260513782
1::636,3.1,1.0487880762399333
1::638,8.0,2.043970136350401
1::644,6.1,0.9306320141441405
1::653,4.7,1.200534005246763
1::663,1.5,0.7635616143246269
1::670,7.9,2.9318674932289
1::686,7.6000000000000005,3.139819427351955
1::691,78.2,17.61540961950208
1::7,4.2,1.2976293850455818
1::70,49.8,19.392858690691735
1::706,3.4,0.8461843477717128
1::711,1.9,0.8346546689227876
1::717,4.8,1.5439617640967642
1::719,5.8,1.6388057293863176
1::738,8.5,3.5753534079379
1::74,6.37,2.285347507292821
1::740,10.2,1.937011106607844
1::76,12.8,7.411551518972249
1::764,6.2,1.5495869333201953
1::765,4.3,1.3427790157963178
1::768,10.2,6.75055781459478
1::769,12.2,3.162567315296266
1::775,20.2,5.7154289378016205
1::783,18.3,4.795807024504361
1::79,2.4,0.767667043763898
1::793,7.7,2.467535688489408
1::796,25.1,6.2332346442829625
1::806,4.8,1.479669622155804
1::810,16.6,6.488973716604557
1::816,3.9,1.087907956197143
1::822,3.7,2.0623758287719074
1::829,3.7,1.8245318122796883
1::830,1.8,1.7847147394700873
1::834,29.4,6.431162912962314
1::841,1.8,0.5897732762073056
1::843,5.7,1.6045731615657464
1::847,3.67,1.6200338370319527
1::858,2.2,0.8246901165968459
1::9,4.6,1.6928659006603266
1::90,20.1,6.9220483662831445
1::94,6.2,1.8069217092185388
1::99,5.7,1.6718099648177742
24::104,14.9,3.313179700666821
24::108,5.0,2.1837504243461225
24::11,3.5,1.5201704071717668
24::114,5.8,1.09146798015549
24::117,15.2,7.064237455634655
24::118,5.4,1.4469794615933114
24::122,18.9,5.074477853594446
24::127,6.9,1.9299893291016184
24::129,1.4,3.734096181986488
24::138,3.9,1.1327401467385851
24::140,2.7,1.4670118769089373
24::166,7.4,1.6728155833920837
24::17,3.7,1.4739861765181688
24::19,8.299999999999999,7.098129341031056
24::190,2.4,1.5154751920496352
24::201,6.9,2.2363887155657984
24::207,8.7,3.051754683731949
