series,mass,noq_error
FOODS_2_393,541.0,537.6095682218622
FOODS_2_395,130.0,131.29603216055074
FOODS_2_397,1153.0,1017.3824640169146
FOODS_2_398,4759.0,2734.5468315402545
FOODS_2_399,1805.0,1375.0512894220026
FOODS_3_001,794.0,700.4004608002674
FOODS_3_004,388.0,391.07249919924476
FOODS_3_005,1076.0,888.4687073946662
FOODS_3_008,819.0,774.2166847045704
FOODS_3_009,660.0,655.2483999202187
FOODS_3_010,906.0,791.8313911352743
FOODS_3_011,1495.0,1181.9178936825083
FOODS_3_012,377.0,362.686662878801
FOODS_3_013,384.0,363.1802987879063
FOODS_3_016,1202.0,1000.476590304493
FOODS_3_017,222.0,223.1909711592876
FOODS_3_018,865.0,760.5010899308201
FOODS_3_019,993.0,849.0704947038535
FOODS_3_020,5054.0,3514.1925982725074
FOODS_3_021,1092.0,954.2076999542901
FOODS_3_022,350.0,350.0159782201355
FOODS_3_023,1247.0,976.1239370869688
FOODS_3_024,3123.0,2159.7222109552204
FOODS_3_027,624.0,615.2612565273349
FOODS_3_030,9356.0,4889.498676595183
FOODS_3_032,1497.0,1078.6870336589352
FOODS_3_033,632.0,628.7598887228197
FOODS_3_036,440.0,427.23606235419226
FOODS_3_038,560.0,526.7427369904909
FOODS_3_039,3947.0,2043.300153519893
FOODS_3_040,407.0,352.3438417700215
FOODS_3_043,354.0,328.4258388643476
FOODS_3_044,908.0,752.0835483742724
FOODS_3_045,439.0,439.0304992880782
FOODS_3_049,634.0,614.3278654415127
FOODS_3_050,390.0,378.27589034043433
FOODS_3_054,193.0,198.3404904943345
FOODS_3_056,542.0,537.5988606296656
FOODS_3_057,548.0,508.6389642713145
FOODS_3_058,1509.0,1233.6875271246158
FOODS_3_062,1129.0,980.8138184527821
FOODS_3_063,1197.0,1075.7574510301454
FOODS_3_064,7899.0,3556.4730407056404
FOODS_3_065,714.0,674.2620487776876
FOODS_3_067,1568.0,1083.7002613245575
FOODS_3_068,540.0,531.1338824689117
FOODS_3_070,9416.0,7750.8928716752325
FOODS_3_071,2901.0,1894.3790386738035
FOODS_3_072,1003.0,929.3904392375283
FOODS_3_077,4905.0,2433.606818378383
FOODS_3_078,446.0,447.45777831804133
FOODS_3_081,829.0,749.8336947408725
FOODS_3_082,678.0,621.0839858500573
FOODS_3_084,876.0,778.8808691666671
FOODS_3_085,984.0,834.0924408705353
FOODS_3_086,11446.0,5855.382954739476
FOODS_3_090,59789.0,38476.09583987782
FOODS_3_093,3580.0,1981.99059615597
FOODS_3_094,1317.0,1038.538544858593
FOODS_3_096,1030.0,833.0128426335772
FOODS_3_097,3118.0,2028.5387046856195
FOODS_3_099,13955.0,5396.48768434642
FOODS_3_100,1285.0,1031.634912258373
FOODS_3_102,730.0,682.9369523179021
FOODS_3_103,1229.0,1019.2817058903777
FOODS_3_104,1186.0,1013.345147555287
FOODS_3_106,3153.0,2590.4909742676305
FOODS_3_107,3596.0,1836.206195281413
FOODS_3_110,512.0,503.6647567989801
FOODS_3_111,652.0,644.2182881385039
FOODS_3_112,1792.0,1300.105653587018
FOODS_3_113,3113.0,2237.7282133767885
FOODS_3_114,586.0,464.71266085764404
FOODS_3_115,1523.0,1105.5004609444713
FOODS_3_116,3003.0,2035.1604865140282
FOODS_3_119,1012.0,920.1297689386388
FOODS_3_120,26422.0,14979.896872420342
FOODS_3_121,3764.0,2098.2403326204803
FOODS_3_122,832.0,817.0325236480162
FOODS_3_123,179.0,179.45414975379836
FOODS_3_128,157.0,158.13195641249817
FOODS_3_129,1145.0,1025.8641454746426
FOODS_3_130,597.0,506.4569425060935
FOODS_3_131,3254.0,1943.1977881065834
FOODS_3_132,1189.0,891.0296032615378
FOODS_3_134,6599.0,3119.902755528143
FOODS_3_135,6977.0,3020.3600116047605
FOODS_3_136,6939.0,2645.710943116623
FOODS_3_138,1788.0,1278.2377262035784
FOODS_3_139,2086.0,1331.4377892891473
FOODS_3_142,1626.0,1225.675081695159
FOODS_3_143,727.0,701.7017416904444
FOODS_3_145,365.0,367.38379769243886
FOODS_3_146,2008.0,1318.546485378645
FOODS_3_147,2334.0,1324.1162794396555
FOODS_3_151,2979.0,1802.058924318327
FOODS_3_152,1629.0,1166.0690511727676
FOODS_3_153,784.0,772.8989559640864
FOODS_3_154,4544.0,2289.029121125462
